name,image
Carrot,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a8775f5e-214a-4f78-8b7e-30956e72a0ad.jpg
Salt,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ff647a33-6efc-4b25-92a7-c53d7d59a5b0.jpeg
Parmesan,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_042bb561-0166-4003-a3b5-5dcea7860d4d.jpg
Olive oil,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8fb3a9dc-a33e-460d-9e65-541d89931d57.jpeg
Oil,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_99e2c395-7340-4fa9-9dae-47c6d84da5af.jpeg
Black pepper,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d5ea566f-0578-4224-b9dd-55c2ce2be553.jpeg
Butter,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_be19c222-6665-4a46-a0c2-9c4a9ee65ca2.jpeg
Milk,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_abd5f452-40db-4a88-913c-e2c2ca67e4e9.jpg
Water,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1893abf2-9fbe-449b-85ab-1ddc750c29b8.jpg
Green ,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_026e49f7-3cac-4942-bec9-fdd5f3e76831.jpg
Poteto,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c97f9972-883b-49e2-8ffc-473d12e84441.jpg
Flour,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a56fd277-923d-417b-980d-3d2764cb4173.jpeg
Turkey,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_52c7dc2f-25d3-4e26-afa1-8ce8edce807a.jpeg
Tomato paste,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_30aa995c-1f98-4cf2-a4e8-c4b523f3a446.jpeg
Rice,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ae182118-af1b-4a6e-be5c-2ca8722bc6b5.jpeg
Suger,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_03999a23-45a7-431f-9f70-a22b5035fbdd.jpg
Brown rice,https://d2d8wwwkmhfcva.cloudfront.net/350x350/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_abcf4719-8fcc-4321-9938-4de88bb4052b.jpg
Sweet poteto,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c19f5382-b115-4e83-9672-dae0f5b7ac7e.png
